Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
230	говоришь	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#291.881#292.149
231	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#292.149#292.417
232	мм	мм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#292.417#292.685
233	по	по	ADP	_	_	_	_	_	words-ish#@ish1984f#292.685#292.953
234	поводу	повод	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#292.953#293.221
235	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#293.221#293.489
236	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#293.489#293.757
237	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#293.757#294.025
238	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#294.025#294.293
239	хочу	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#294.293#294.561
240	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	words-ish#@ish1984f#294.561#294.829
241	археологи	археолог	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#294.829#295.097
242	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#295.097#295.365
243	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#295.365#295.633
244	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#295.633#295.901
245	через	через	ADP	_	_	_	_	_	words-ish#@ish1984f#295.901#296.169
246	тысячу	тысяча	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#296.169#296.437
247	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	words-ish#@ish1984f#296.437#296.705
248	раскопали	раскопать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#296.705#296.973
249	и	и	CCONJ	_	_	_	_	_	words-ish#@ish1984f#296.973#297.241
250	нашли	найти	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#297.241#297.509
251	что-то	что-то	PRON	_	Case=Acc	_	_	_	words-ish#@ish1984f#297.509#297.777
252	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#297.777#298.045
253	что	что	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#298.045#298.313
254	сделал	делать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#298.313#298.581
255	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#298.581#298.849
256	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#298.849#299.117
257	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#299.117#299.385
258	на	на	ADP	_	_	_	_	_	words-ish#@ish1984f#299.385#299.653
259	сегодняш...	сегодняш..отреть	PROPN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#299.653#299.926
260	чего	что	PRON	_	Case=Gen	_	_	_	words-ish#@ish1984f#301.097#301.385
261	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#301.385#301.673
262	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#301.673#301.961
263	уже	уже	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#301.961#302.249
264	по-другому	по-другому	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#302.249#302.537
265	говоришь	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#302.537#302.829
266	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#307.17#307.682
267	чего	что	PRON	_	Case=Gen	_	_	_	words-ish#@ish1984f#319.902#320.277
268	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#320.277#320.652
269	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#320.652#321.027
270	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#321.027#321.402
271	какое	какой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#321.402#321.78
272	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#327.951#328.257
273	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#328.257#328.563
274	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#328.563#328.869
275	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#328.869#329.175
276	придумать	придумать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-ish#@ish1984f#329.175#329.481
277	свой	свой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#329.481#329.787
278	айфон	айфон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#329.787#330.093
279	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#330.093#330.399
280	который	который	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#330.399#330.705
281	изменит	изменить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#330.705#331.011
282	мир	мир	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#331.011#331.317
283	ну	ну	PART	_	_	_	_	_	words-ish#@ish1984f#331.78#331.979
284	не	не	PART	_	_	_	_	_	words-ish#@ish1984f#331.979#332.178
285	телефон	телефон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#332.178#332.377
286	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-ish#@ish1984f#332.377#332.576
287	имею	иметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#332.576#332.775
288	в	в	ADP	_	_	_	_	_	words-ish#@ish1984f#332.775#332.974
289	виду	вид	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#332.974#333.173
290	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#333.173#333.372
291	вот	вот	PART	_	_	_	_	_	words-ish#@ish1984f#333.372#333.571
292	что-то	что-то	PRON	_	Case=Acc	_	_	_	words-ish#@ish1984f#333.571#333.77
293	подобное	подобный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#333.77#333.975
294	давай	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#366.926#367.249
295	все-таки	все-таки	PART	_	_	_	_	_	words-ish#@ish1984f#367.249#367.572
296	назовем	назвать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#367.572#367.895
297	что-то	что-то	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#367.895#368.218
298	одно	один	DET	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-ish#@ish1984f#368.218#368.541
299	/	/	PUNCT	_	_	_	_	_	words-ish#@ish1984f#368.541#368.864
300	что	что	PRON	_	Case=Nom	_	_	_	words-ish#@ish1984f#368.864#369.187
301	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#369.187#369.51
302	кажется	казаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-ish#@ish1984f#369.51#369.833
303	что	что	SCONJ	_	_	_	_	_	words-ish#@ish1984f#369.833#370.156
304	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-ish#@ish1984f#370.156#370.479
305	этот	этот	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#370.479#370.802
306	мир	мир	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	words-ish#@ish1984f#370.802#371.125
307	уже	уже	ADV	_	Degree=Pos	_	_	_	words-ish#@ish1984f#371.125#371.448
308	изменил	изменить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-ish#@ish1984f#371.448#371.78
309	из	из	ADP	_	_	_	_	_	words-ish#@ish1984f#372.512#372.926
310	сделанной	делать	VERB	_	Aspect=Perf|Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	_	_	_	words-ish#@ish1984f#373.17#373.625
311	работы	работа	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#373.625#374.08
312	твоей	твой	DET	_	Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-ish#@ish1984f#374.08#374.536
313	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#8.666#9.523
314	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#9.623#9.901
315	классная	классный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#9.901#10.179
316	возможность	возможность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#10.179#10.457
317	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#10.457#10.735
318	главная	главный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#10.735#11.013
319	ценность	ценность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#11.013#11.291
320	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#11.291#11.569
321	сто	сто	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#11.569#11.847
322	тыщ	тыще	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	_	_	_	words-aal#@aal1975m#11.847#12.125
323	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#12.125#12.403
324	очень	очень	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#12.403#12.681
325	маленькие	маленький	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	words-aal#@aal1975m#12.681#12.959
326	деньги	деньги	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#12.959#13.237
327	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#13.237#13.515
328	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#13.515#13.793
329	на	на	ADP	_	_	_	_	_	words-aal#@aal1975m#13.793#14.071
330	них	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	_	_	words-aal#@aal1975m#14.071#14.349
331	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#14.349#14.627
332	прожить	прожить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#14.627#14.91
333	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#14.99#15.41
334	тем	то	PRON	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#15.41#15.83
335	более	более	ADV	_	Degree=Cmp	_	_	_	words-aal#@aal1975m#15.83#16.25
336	держать	держать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#16.25#16.67
337	дизайн-студию	дизайн-студие	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#16.67#17.09
338	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#17.09#17.51
339	никакого	никакой	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#17.51#17.93
340	размера	размер	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#17.93#18.35
341	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	words-aal#@aal1975m#18.35#18.77
342	просто	просто	PART	_	_	_	_	_	words-aal#@aal1975m#18.77#19.19
343	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#19.19#19.61
344	сможешь	мочь	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#19.61#20.039
345	ээ	ээ	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#20.067#20.378
346	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#20.378#20.689
347	даже	даже	PART	_	_	_	_	_	words-aal#@aal1975m#20.689#21.0
348	при	при	ADP	_	_	_	_	_	words-aal#@aal1975m#21.0#21.311
349	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#21.311#21.622
350	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#21.622#21.933
351	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#21.933#22.244
352	щас	щы	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#22.244#22.555
353	сделали	делать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#22.555#22.866
354	уже	уже	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#22.866#23.177
355	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#23.177#23.488
356	двести	двести	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#23.488#23.799
357	сорок	сорока	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#23.799#24.11
358	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#24.11#24.421
359	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#24.421#24.732
360	ли	ли	PART	_	_	_	_	_	words-aal#@aal1975m#24.732#25.043
361	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#25.043#25.354
362	проектов	проект	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	words-aal#@aal1975m#25.354#25.665
363	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#25.665#25.976
364	получили	получить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#25.976#26.287
365	соответственно	соответственно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#26.287#26.598
366	двадцать	двадцать	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#26.598#26.909
367	четыре	четыре	NUM	_	Case=Nom	_	_	_	words-aal#@aal1975m#26.909#27.22
368	миллиона	миллион	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#27.22#27.534
369	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#27.683#28.019
370	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#28.019#28.355
371	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#28.355#28.691
372	смехотворно	смехотворно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#28.691#29.029
373	когда	когда	SCONJ	_	_	_	_	_	words-aal#@aal1975m#29.196#29.432
374	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#29.432#29.668
375	продаем	продавать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#29.668#29.904
376	логотип	логотип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#29.904#30.14
377	за	за	ADP	_	_	_	_	_	words-aal#@aal1975m#30.14#30.376
378	сто	сто	NUM	_	Case=Acc	_	_	_	words-aal#@aal1975m#30.376#30.612
379	тысяч	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#30.612#30.848
380	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#30.848#31.084
381	можно	можно	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#31.084#31.32
382	сделать	делать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#31.32#31.556
383	только	только	PART	_	_	_	_	_	words-aal#@aal1975m#31.556#31.792
384	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#31.792#32.028
385	том	тот	DET	_	Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#32.028#32.264
386	случае	случай	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#32.264#32.5
387	если	если	SCONJ	_	_	_	_	_	words-aal#@aal1975m#32.5#32.737
388	и	и	PART	_	_	_	_	_	words-aal#@aal1975m#32.786#33.001
389	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#33.001#33.216
390	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#33.216#33.431
391	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#33.431#33.646
392	долго	долго	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#33.646#33.861
393	к	к	ADP	_	_	_	_	_	words-aal#@aal1975m#33.861#34.076
394	этому	это	PRON	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#34.076#34.291
395	шли	идти	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#34.291#34.508
396	когда	когда	SCONJ	_	_	_	_	_	words-aal#@aal1975m#34.588#34.838
397	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	words-aal#@aal1975m#34.838#35.088
398	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#35.088#35.338
399	обсуждаем	обсуждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#35.338#35.588
400	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#35.588#35.838
401	с	с	ADP	_	_	_	_	_	words-aal#@aal1975m#35.838#36.088
402	клиентом	клиент	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#36.088#36.338
403	потому	потому	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#36.338#36.588
404	что	что	SCONJ	_	_	_	_	_	words-aal#@aal1975m#36.588#36.838
405	самое	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#36.838#37.088
406	дорогое	дорогой	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#37.088#37.338
407	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#37.338#37.588
408	дизайне	дизайн	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#37.588#37.838
409	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#37.838#38.088
410	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#38.088#38.338
411	вообще	вообще	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#38.338#38.588
412	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#38.588#38.838
413	любой	любой	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#38.838#39.088
414	проектной	проектный	ADJ	_	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#39.088#39.338
415	деятельности	деятельность	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#39.338#39.588
416	пиздеж	пиздеж	ADP	_	_	_	_	_	words-aal#@aal1975m#40.009#40.396
417	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	words-aal#@aal1975m#40.432#40.755
418	садятся	садиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	words-aal#@aal1975m#40.755#41.078
419	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#41.078#41.401
420	переговорке	переговорка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#41.401#41.724
421	и	и	CCONJ	_	_	_	_	_	words-aal#@aal1975m#41.724#42.047
422	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	words-aal#@aal1975m#42.047#42.37
423	могут	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#42.37#42.693
424	сидеть	сидеть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#42.693#43.016
425	там	там	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#43.016#43.339
426	месяцами	месяц	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	_	_	_	words-aal#@aal1975m#43.339#43.666
427	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#43.711#43.952
428	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#43.952#44.193
429	так	так	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#44.193#44.434
430	а	а	CCONJ	_	_	_	_	_	words-aal#@aal1975m#44.434#44.675
431	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#44.675#44.916
432	думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#44.916#45.157
433	сяк	сяк	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#45.157#45.398
434	а	а	CCONJ	_	_	_	_	_	words-aal#@aal1975m#45.398#45.639
435	давайте	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#45.639#45.88
436	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#45.88#46.121
437	запишем	запишть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#46.121#46.362
438	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#46.362#46.603
439	протокол	протокол	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#46.603#46.844
440	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#46.844#47.085
441	вот	вот	PART	_	_	_	_	_	words-aal#@aal1975m#47.085#47.326
442	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#47.326#47.567
443	ну	ну	PART	_	_	_	_	_	words-aal#@aal1975m#47.567#47.808
444	/	/	PUNCT	_	_	_	_	_	words-aal#@aal1975m#47.808#48.049
445	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#48.049#48.29
446	то	то	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	words-aal#@aal1975m#48.29#48.531
447	что	что	PRON	_	Case=Acc	_	_	_	words-aal#@aal1975m#48.531#48.772
448	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#48.772#49.013
449	ненавижу	ненавидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#49.013#49.254
450	и	и	PART	_	_	_	_	_	words-aal#@aal1975m#49.254#49.495
451	поэтому	поэтому	ADV	_	Degree=Pos	_	_	_	words-aal#@aal1975m#49.495#49.736
452	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	words-aal#@aal1975m#49.736#49.977
453	пришла	прийти	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	words-aal#@aal1975m#49.977#50.218
454	в	в	ADP	_	_	_	_	_	words-aal#@aal1975m#50.218#50.459
455	голову	голова	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#50.459#50.7
456	мысль	мысль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	words-aal#@aal1975m#50.7#50.941
457	продавать	продавать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	words-aal#@aal1975m#50.941#51.182
458	дизайн	дизайн	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	words-aal#@aal1975m#51.182#51.423
459	не	не	PART	_	_	_	_	_	words-aal#@aal1975m#51.423#51.664
